ts,id,T,P
2.605,BARO0,31.49,98429
2.615,BARO0,31.49,98420
2.625,BARO0,31.49,98407
2.635,BARO0,31.48,98401
2.645,BARO0,31.49,98380
2.655,BARO0,31.48,98375
2.665,BARO0,31.49,98352
2.675,BARO0,31.48,98361
2.685,BARO0,31.48,98335
2.695,BARO0,31.49,98326
2.705,BARO0,31.5,98331
2.715,BARO0,31.5,98340
2.725,BARO0,31.48,98294
2.735,BARO0,31.48,98257
2.745,BARO0,31.49,98267
2.755,BARO0,31.48,98257
2.765,BARO0,31.48,98230
2.775,BARO0,31.49,98242
2.785,BARO0,31.48,98212
2.795,BARO0,31.49,98210
2.805,BARO0,31.48,98194
2.815,BARO0,31.49,98190
2.825,BARO0,31.49,98179
2.835,BARO0,31.51,98166
2.845,BARO0,31.49,98135
2.855,BARO0,31.49,98141
2.865,BARO0,31.49,98116
2.875,BARO0,31.49,98118
2.885,BARO0,31.49,98097
2.895,BARO0,31.49,98104
2.905,BARO0,31.48,98055
2.915,BARO0,31.49,98045
2.925,BARO0,31.5,98040
2.935,BARO0,31.49,98069
2.945,BARO0,31.48,97995
2.955,BARO0,31.48,98024
2.965,BARO0,31.49,97993
2.975,BARO0,31.49,97995
2.985,BARO0,31.49,97975
2.995,BARO0,31.49,97950
3.005,BARO0,31.5,97932
3.015,BARO0,31.49,97941
3.025,BARO0,31.49,97892
3.035,BARO0,31.51,97906
3.045,BARO0,31.49,97868
3.055,BARO0,31.47,97870
3.065,BARO0,31.49,97837
3.075,BARO0,31.49,97832
3.085,BARO0,31.49,97820
3.095,BARO0,31.49,97808
3.105,BARO0,31.49,97791
3.115,BARO0,31.49,97790
3.125,BARO0,31.48,97746
3.135,BARO0,31.5,97743
3.145,BARO0,31.49,97745
3.155,BARO0,31.49,97711
3.165,BARO0,31.47,97714
3.175,BARO0,31.49,97715
3.185,BARO0,31.49,97704
3.195,BARO0,31.49,97703
3.205,BARO0,31.5,97625
3.215,BARO0,31.49,97588
3.225,BARO0,31.49,97575
3.235,BARO0,31.49,97595
3.245,BARO0,31.51,97592
3.255,BARO0,31.48,97577
3.265,BARO0,31.48,97537
3.275,BARO0,31.49,97526
3.285,BARO0,31.49,97521
3.295,BARO0,31.49,97489
3.305,BARO0,31.48,97482
3.315,BARO0,31.49,97475
3.325,BARO0,31.49,97445
3.335,BARO0,31.49,97439
3.345,BARO0,31.49,97400
3.355,BARO0,31.49,97417
3.365,BARO0,31.5,97370
3.375,BARO0,31.49,97355
3.385,BARO0,31.49,97359
3.395,BARO0,31.49,97343
3.405,BARO0,31.5,97334
3.415,BARO0,31.49,97291
3.425,BARO0,31.48,97273
3.435,BARO0,31.5,97296
3.445,BARO0,31.49,97249
3.455,BARO0,31.5,97240
3.465,BARO0,31.49,97233
3.475,BARO0,31.49,97224
3.485,BARO0,31.49,97206
3.495,BARO0,31.49,97186
3.505,BARO0,31.49,97186
3.515,BARO0,31.5,97185
3.525,BARO0,31.49,97126
3.535,BARO0,31.47,97118
3.545,BARO0,31.47,97134
3.555,BARO0,31.48,97117
3.565,BARO0,31.5,97091
3.575,BARO0,31.49,97089
3.585,BARO0,31.49,97040
3.595,BARO0,31.49,97034
3.605,BARO0,31.48,97001
3.615,BARO0,31.5,97000
3.625,BARO0,31.5,96972
3.635,BARO0,31.48,96995
3.645,BARO0,31.49,96965
3.655,BARO0,31.48,96888
3.665,BARO0,31.49,96824
3.675,BARO0,31.49,96741
3.685,BARO0,31.5,96661
3.695,BARO0,31.5,96589
3.705,BARO0,31.5,96569
3.715,BARO0,31.5,96492
3.725,BARO0,31.5,96485
3.735,BARO0,31.48,96445
3.745,BARO0,31.5,96396
3.755,BARO0,31.49,96374
3.765,BARO0,31.49,96345
3.775,BARO0,31.5,96325
