ts,id,T,P
2.025,BARO0,31.14,100071
2.035,BARO0,31.13,100068
2.045,BARO0,31.15,100062
2.055,BARO0,31.12,100063
2.065,BARO0,31.13,100058
2.075,BARO0,31.15,100063
2.085,BARO0,31.15,100065
2.095,BARO0,31.14,100075
2.105,BARO0,31.12,100077
2.115,BARO0,31.13,100072
2.125,BARO0,31.13,100070
2.135,BARO0,31.13,100078
2.145,BARO0,31.13,100069
2.155,BARO0,31.11,100055
2.165,BARO0,31.11,100064
2.175,BARO0,31.13,100075
2.185,BARO0,31.11,100063
2.195,BARO0,31.11,100066
2.205,BARO0,31.13,100061
2.215,BARO0,31.12,100062
2.225,BARO0,31.12,100070
2.235,BARO0,31.12,100062
2.245,BARO0,31.13,100073
2.255,BARO0,31.13,100072
2.265,BARO0,31.11,100088
2.275,BARO0,31.11,100062
2.285,BARO0,31.12,100054
2.295,BARO0,31.13,100066
2.305,BARO0,31.13,100074
2.315,BARO0,31.11,100058
2.325,BARO0,31.12,100054
2.335,BARO0,31.11,100084
2.345,BARO0,31.12,100080
2.355,BARO0,31.11,100086
2.365,BARO0,31.11,100062
2.375,BARO0,31.11,100076
2.385,BARO0,31.10,100066
2.395,BARO0,31.12,100079
2.405,BARO0,31.12,100062
2.415,BARO0,31.11,100075
2.425,BARO0,31.11,100057
2.435,BARO0,31.12,100067
2.445,BARO0,31.12,100072
2.455,BARO0,31.11,100067
2.465,BARO0,31.11,100072
2.475,BARO0,31.09,100051
2.485,BARO0,31.11,100057
2.495,BARO0,31.09,100074
2.505,BARO0,31.11,100063
2.515,BARO0,31.11,100068
2.525,BARO0,31.11,100068
2.535,BARO0,31.10,100082
2.545,BARO0,31.10,100073
2.555,BARO0,31.09,100076
2.565,BARO0,31.11,100066
2.575,BARO0,31.10,100069
2.585,BARO0,31.10,100071
2.595,BARO0,31.11,100053
2.605,BARO0,31.11,100059
2.615,BARO0,31.10,100062
2.625,BARO0,31.10,100075
2.635,BARO0,31.11,100056
2.645,BARO0,31.10,100084
2.655,BARO0,31.09,100067
2.665,BARO0,31.12,100083
2.675,BARO0,31.09,100058
2.685,BARO0,31.11,100068
2.695,BARO0,31.10,100072
2.705,BARO0,31.09,100056
2.715,BARO0,31.09,100089
2.725,BARO0,31.10,100066
2.735,BARO0,31.09,100049
2.745,BARO0,31.08,100072
2.755,BARO0,31.09,100065
2.765,BARO0,31.11,100074
2.775,BARO0,31.10,100083
2.785,BARO0,31.11,100067
2.795,BARO0,31.10,100065
2.805,BARO0,31.10,100081
2.815,BARO0,31.10,100074
2.825,BARO0,31.09,100068
2.835,BARO0,31.10,100072
2.845,BARO0,31.10,100094
2.855,BARO0,31.08,100064
2.865,BARO0,31.11,100079
2.875,BARO0,31.08,100039
2.885,BARO0,31.09,100064
2.895,BARO0,31.10,100063
2.905,BARO0,31.08,100075
2.915,BARO0,31.09,100071
2.925,BARO0,31.09,100078
2.935,BARO0,31.10,100094
2.945,BARO0,31.07,100068
2.955,BARO0,31.08,100079
2.965,BARO0,31.09,100070
2.975,BARO0,31.09,100060
2.985,BARO0,31.06,100074
2.995,BARO0,31.08,100068
3.005,BARO0,31.09,100066
3.015,BARO0,31.09,100066
3.025,BARO0,31.10,100065
3.035,BARO0,31.09,100082
3.045,BARO0,31.09,100069
3.055,BARO0,31.10,100084
3.065,BARO0,31.09,100052
3.075,BARO0,31.09,100069
3.085,BARO0,31.08,100072
3.095,BARO0,31.10,100072
3.105,BARO0,31.10,100069
3.115,BARO0,31.09,100082
3.125,BARO0,31.09,100069
3.135,BARO0,31.08,100059
3.145,BARO0,31.08,100062
3.155,BARO0,31.09,100079
3.165,BARO0,31.06,100046
3.175,BARO0,31.08,100058
3.185,BARO0,31.11,100069
3.195,BARO0,31.08,100079
3.205,BARO0,31.08,100078
3.215,BARO0,31.08,100069
3.225,BARO0,31.09,100083
3.235,BARO0,31.08,100076
3.245,BARO0,31.08,100077
3.255,BARO0,31.08,100069
3.265,BARO0,31.08,100066
3.275,BARO0,31.10,100082
3.285,BARO0,31.12,100069
3.295,BARO0,31.09,100075
3.305,BARO0,31.08,100075
3.315,BARO0,31.08,100077
3.325,BARO0,31.09,100075
3.335,BARO0,31.08,100060
3.345,BARO0,31.06,100062
3.355,BARO0,31.09,100060
3.365,BARO0,31.08,100064
3.375,BARO0,31.08,100064
3.385,BARO0,31.10,100059
3.395,BARO0,31.10,100076
3.405,BARO0,31.07,100072
3.415,BARO0,31.08,100069
3.425,BARO0,31.08,100079
3.435,BARO0,31.09,100045
3.445,BARO0,31.08,100065
3.455,BARO0,31.08,100074
3.465,BARO0,31.09,100065
3.475,BARO0,31.09,100065
3.485,BARO0,31.08,100055
3.495,BARO0,31.08,100059
3.505,BARO0,31.08,100063
3.515,BARO0,31.08,100050
3.525,BARO0,31.08,100087
3.535,BARO0,31.08,100078
3.545,BARO0,31.09,100076
3.555,BARO0,31.09,100060
3.565,BARO0,31.09,100060
3.575,BARO0,31.07,100056
3.585,BARO0,31.09,100070
3.595,BARO0,31.08,100060
3.605,BARO0,31.07,100071
3.615,BARO0,31.08,100068
3.625,BARO0,31.08,100053
3.635,BARO0,31.08,100067
3.645,BARO0,31.07,100074
3.655,BARO0,31.10,100089
3.665,BARO0,31.07,100099
3.675,BARO0,31.07,100068
3.685,BARO0,31.07,100062
3.695,BARO0,31.09,100084
3.705,BARO0,31.08,100071
3.715,BARO0,31.08,100061
3.725,BARO0,31.08,100080
3.735,BARO0,31.08,100085
3.745,BARO0,31.09,100079
3.755,BARO0,31.07,100083
3.765,BARO0,31.08,100060
3.775,BARO0,31.09,100060
3.785,BARO0,31.08,100062
3.795,BARO0,31.08,100064
3.805,BARO0,31.07,100057
3.815,BARO0,31.08,100040
3.825,BARO0,31.08,100057
3.835,BARO0,31.08,100053
3.845,BARO0,31.08,100041
3.855,BARO0,31.06,100056
3.865,BARO0,31.07,100031
3.875,BARO0,31.08,100055
3.885,BARO0,31.07,100035
3.895,BARO0,31.07,100033
3.905,BARO0,31.06,100033
3.915,BARO0,31.07,100006
3.925,BARO0,31.08,100026
3.935,BARO0,31.08,100003
3.945,BARO0,31.06,100007
3.955,BARO0,31.08,99977
3.965,BARO0,31.07,99998
3.975,BARO0,31.06,99996
3.985,BARO0,31.10,99969
3.995,BARO0,31.07,99974
4.005,BARO0,31.10,99966
4.015,BARO0,31.08,99950
4.025,BARO0,31.08,99949
4.035,BARO0,31.07,99931
4.045,BARO0,31.08,99941
4.055,BARO0,31.09,99923
4.065,BARO0,31.07,99908
4.075,BARO0,31.08,99892
4.085,BARO0,31.09,99895
4.095,BARO0,31.08,99879
4.105,BARO0,31.08,99851
4.115,BARO0,31.07,99863
4.125,BARO0,31.07,99853
4.135,BARO0,31.08,99829
4.145,BARO0,31.08,99827
4.155,BARO0,31.10,99833
4.165,BARO0,31.07,99785
4.175,BARO0,31.08,99798
4.185,BARO0,31.07,99780
4.195,BARO0,31.06,99758
4.205,BARO0,31.09,99759
4.215,BARO0,31.08,99729
4.225,BARO0,31.07,99722
4.235,BARO0,31.08,99708
4.245,BARO0,31.08,99707
4.255,BARO0,31.08,99676
4.265,BARO0,31.06,99678
4.275,BARO0,31.08,99641
4.285,BARO0,31.09,99624
4.295,BARO0,31.08,99625
4.305,BARO0,31.07,99610
4.315,BARO0,31.07,99578
4.325,BARO0,31.07,99575
4.335,BARO0,31.08,99550
4.345,BARO0,31.07,99528
4.355,BARO0,31.09,99512
4.365,BARO0,31.09,99489
4.375,BARO0,31.05,99480
4.385,BARO0,31.08,99465
4.395,BARO0,31.08,99435
4.405,BARO0,31.08,99433
4.415,BARO0,31.07,99400
4.425,BARO0,31.07,99398
4.435,BARO0,31.07,99374
4.445,BARO0,31.07,99358
4.455,BARO0,31.07,99329
4.465,BARO0,31.07,99312
4.475,BARO0,31.08,99273
4.485,BARO0,31.07,99262
4.495,BARO0,31.08,99244
4.505,BARO0,31.09,99233
4.515,BARO0,31.07,99181
4.525,BARO0,31.07,99180
4.535,BARO0,31.07,99142
4.545,BARO0,31.08,99145
4.555,BARO0,31.09,99098
4.565,BARO0,31.05,99075
4.575,BARO0,31.08,99054
4.585,BARO0,31.08,99023
4.595,BARO0,31.07,99006
4.605,BARO0,31.08,98980
4.615,BARO0,31.07,98950
4.625,BARO0,31.07,98926
4.635,BARO0,31.07,98915
4.645,BARO0,31.05,98860
4.655,BARO0,31.08,98827
4.665,BARO0,31.05,98818
4.675,BARO0,31.06,98804
4.685,BARO0,31.06,98764
4.695,BARO0,31.06,98759
4.705,BARO0,31.08,98708
4.715,BARO0,31.06,98666
4.725,BARO0,31.07,98640
4.735,BARO0,31.07,98630
4.745,BARO0,31.08,98573
4.755,BARO0,31.07,98569
4.765,BARO0,31.06,98529
4.775,BARO0,31.06,98499
